PE,rank,method,data,start,end
NormPE1,1,process,"{}",1566489800.527851,1566489800.545387
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 9))]}",1566489800.549831,1566489800.5627918
Match5,5,process,"{}",1566489800.549794,1566489800.549809
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion4', 4, 'output', 9)}",1566489800.5618,1566489800.561961
PeakGroundMotion4,4,process,"{}",1566489800.517163,1566489800.561769
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 10))]}",1566489800.56205,1566489800.5661929
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1274, 'id': ('PeakGroundMotion3', 3, 'output', 9)}",1566489800.574563,1566489800.574692
PeakGroundMotion3,3,process,"{}",1566489800.5518239,1566489800.574538
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 9))]}",1566489800.5628622,1566489800.576567
Match5,5,process,"{}",1566489800.562849,1566489800.5628579
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 10))]}",1566489800.5747268,1566489800.5772731
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion4', 4, 'output', 10)}",1566489800.59342,1566489800.593584
PeakGroundMotion4,4,process,"{}",1566489800.5662458,1566489800.5933912
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 10))]}",1566489800.576805,1566489800.594492
Match5,5,process,"{}",1566489800.576792,1566489800.576801
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 11))]}",1566489800.593639,1566489800.595171
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 10)}",1566489800.6098518,1566489800.610004
PeakGroundMotion3,3,process,"{}",1566489800.577326,1566489800.609827
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 11))]}",1566489800.610039,1566489800.610465
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 10))]}",1566489800.594558,1566489800.611648
