PE,rank,method,data,start,end
PE_filter_highpass27,15,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass27', 15, 'output', 4)}",1566489792.3592708,1566489792.359348
PE_filter_highpass27,15,process,"{}",1566489792.355191,1566489792.3590279
PE_filter_bandpass28,16,read,"{'input': [('input', ('PE_filter_highpass27', 15, 'output', 4))]}",1566489792.21146,1566489792.365366
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 4))]}",1566489792.191791,1566489792.364171
PE_filter_bandpass28,16,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass28', 16, 'output', 4)}",1566489792.369365,1566489792.369439
PE_filter_bandpass28,16,process,"{}",1566489792.365408,1566489792.369119
PE_filter_bandpass22,10,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass22', 10, 'output', 4)}",1566489792.370067,1566489792.370153
PE_filter_bandpass22,10,process,"{}",1566489792.364214,1566489792.369758
RotationPE31,2,read,"{'input': [('input', ('PE_filter_bandpass28', 16, 'output', 4))]}",1566489792.2276008,1566489792.376144
RotationPE30,1,read,"{'input': [('input', ('PE_filter_bandpass22', 10, 'output', 4))]}",1566489792.209814,1566489792.3771782
RotationPE31,2,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE31', 2, 'output', 4)}",1566489792.3775349,1566489792.377617
RotationPE31,2,process,"{}",1566489792.376192,1566489792.377245
RotationPE30,1,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE30', 1, 'output', 4)}",1566489792.378491,1566489792.3785741
RotationPE30,1,process,"{}",1566489792.3772202,1566489792.378195
StoreStream32,3,read,"{'input': [('input', ('RotationPE30', 1, 'output', 4))]}",1566489792.23038,1566489792.384206
StoreStream32,3,process,"{}",1566489792.226408,1566489792.230371
StoreStream33,4,read,"{'input': [('input', ('RotationPE31', 2, 'output', 4))]}",1566489792.243228,1566489792.3845792
StoreStream33,4,process,"{}",1566489792.24127,1566489792.243221
data29,0,write,"{'output': 'output_real', 'size': 1031, 'id': ('data29', 0, 'output_real', 5)}",1566489792.4133492,1566489792.4134378
data29,0,write,"{'output': 'output_synt', 'size': 1031, 'id': ('data29', 0, 'output_synt', 5)}",1566489792.413461,1566489792.4135091
PE_detrend23,11,read,"{'input': [('input', ('data29', 0, 'output_synt', 5))]}",1566489792.323581,1566489792.427144
PE_detrend17,5,read,"{'input': [('input', ('data29', 0, 'output_real', 5))]}",1566489792.304359,1566489792.4270551
PE_detrend17,5,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend17', 5, 'output', 5)}",1566489792.4295418,1566489792.429615
PE_detrend17,5,process,"{}",1566489792.427105,1566489792.4293911
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 5)}",1566489792.4324381,1566489792.4325151
PE_detrend23,11,process,"{}",1566489792.427184,1566489792.43229
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 5))]}",1566489792.3117042,1566489792.441021
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 5)}",1566489792.44221,1566489792.4422898
PE_taper18,6,process,"{}",1566489792.44107,1566489792.442029
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 5))]}",1566489792.33142,1566489792.444542
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 5)}",1566489792.445513,1566489792.445581
PE_taper24,12,process,"{}",1566489792.444584,1566489792.445364
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 5))]}",1566489792.3371782,1566489792.456178
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 5))]}",1566489792.338905,1566489792.46123
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 5)}",1566489792.46225,1566489792.462327
PE_pre_filter25,13,process,"{}",1566489792.461281,1566489792.462086
PE_filter_lowpass26,14,read,"{'input': [('input', ('PE_pre_filter25', 13, 'output', 5))]}",1566489792.348465,1566489792.473676
PE_filter_lowpass26,14,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass26', 14, 'output', 5)}",1566489792.4784682,1566489792.478545
PE_filter_lowpass26,14,process,"{}",1566489792.473789,1566489792.478316
PE_filter_highpass27,15,read,"{'input': [('input', ('PE_filter_lowpass26', 14, 'output', 5))]}",1566489792.35938,1566489792.489961
PE_remove_response19,7,write,"{'output': 'output', 'size': 1015, 'id': ('PE_remove_response19', 7, 'output', 5)}",1566489792.490135,1566489792.490301
PE_remove_response19,7,process,"{}",1566489792.4562292,1566489792.489922
PE_filter_highpass27,15,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass27', 15, 'output', 5)}",1566489792.494134,1566489792.4942238
PE_filter_highpass27,15,process,"{}",1566489792.490007,1566489792.493941
PE_filter_lowpass20,8,read,"{'input': [('input', ('PE_remove_response19', 7, 'output', 5))]}",1566489792.347585,1566489792.503484
PE_filter_bandpass28,16,read,"{'input': [('input', ('PE_filter_highpass27', 15, 'output', 5))]}",1566489792.369466,1566489792.506517
PE_filter_lowpass20,8,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass20', 8, 'output', 5)}",1566489792.507651,1566489792.507725
PE_filter_lowpass20,8,process,"{}",1566489792.503532,1566489792.507498
PE_filter_bandpass28,16,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass28', 16, 'output', 5)}",1566489792.51052,1566489792.5105999
PE_filter_bandpass28,16,process,"{}",1566489792.506562,1566489792.510366
PE_filter_highpass21,9,read,"{'input': [('input', ('PE_filter_lowpass20', 8, 'output', 5))]}",1566489792.3578491,1566489792.519603
RotationPE31,2,read,"{'input': [('input', ('PE_filter_bandpass28', 16, 'output', 5))]}",1566489792.3776488,1566489792.5234492
PE_filter_highpass21,9,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass21', 9, 'output', 5)}",1566489792.5237188,1566489792.523835
PE_filter_highpass21,9,process,"{}",1566489792.519646,1566489792.523508
RotationPE31,2,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE31', 2, 'output', 5)}",1566489792.525527,1566489792.5256362
RotationPE31,2,process,"{}",1566489792.523513,1566489792.525337
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 5))]}",1566489792.370183,1566489792.539423
StoreStream33,4,read,"{'input': [('input', ('RotationPE31', 2, 'output', 5))]}",1566489792.386803,1566489792.542498
StoreStream33,4,process,"{}",1566489792.384895,1566489792.386796
